H = 	0.393184	 Volume = 	0.243	 Pressure = 	-2.86178	 Normal Contact Force = 	-3.46494
H = 	0.393164	 Volume = 	0.243	 Pressure = 	-2.86224	 Normal Contact Force = 	-3.46618
H = 	0.393145	 Volume = 	0.243	 Pressure = 	-2.86269	 Normal Contact Force = 	-3.46742
H = 	0.393125	 Volume = 	0.243	 Pressure = 	-2.86315	 Normal Contact Force = 	-3.46867
H = 	0.393105	 Volume = 	0.243	 Pressure = 	-2.8636	 Normal Contact Force = 	-3.46991
H = 	0.393086	 Volume = 	0.243	 Pressure = 	-2.86405	 Normal Contact Force = 	-3.47116
H = 	0.393066	 Volume = 	0.243	 Pressure = 	-2.86451	 Normal Contact Force = 	-3.4724
H = 	0.393047	 Volume = 	0.243	 Pressure = 	-2.86496	 Normal Contact Force = 	-3.47365
H = 	0.393027	 Volume = 	0.243	 Pressure = 	-2.86542	 Normal Contact Force = 	-3.47489
H = 	0.393008	 Volume = 	0.243	 Pressure = 	-2.86587	 Normal Contact Force = 	-3.47614
H = 	0.392988	 Volume = 	0.243	 Pressure = 	-2.86633	 Normal Contact Force = 	-3.47738
H = 	0.392969	 Volume = 	0.243	 Pressure = 	-2.86678	 Normal Contact Force = 	-3.47863
H = 	0.392949	 Volume = 	0.243	 Pressure = 	-2.86724	 Normal Contact Force = 	-3.47988
H = 	0.39293	 Volume = 	0.243	 Pressure = 	-2.86769	 Normal Contact Force = 	-3.48113
H = 	0.39291	 Volume = 	0.243	 Pressure = 	-2.86815	 Normal Contact Force = 	-3.48237
H = 	0.392891	 Volume = 	0.243	 Pressure = 	-2.8686	 Normal Contact Force = 	-3.48362
H = 	0.392871	 Volume = 	0.243	 Pressure = 	-2.86906	 Normal Contact Force = 	-3.48487
H = 	0.392852	 Volume = 	0.243	 Pressure = 	-2.86951	 Normal Contact Force = 	-3.48612
H = 	0.392832	 Volume = 	0.243	 Pressure = 	-2.86997	 Normal Contact Force = 	-3.48737
H = 	0.392813	 Volume = 	0.243	 Pressure = 	-2.87042	 Normal Contact Force = 	-3.48862
H = 	0.392793	 Volume = 	0.243	 Pressure = 	-2.87088	 Normal Contact Force = 	-3.48987
H = 	0.392773	 Volume = 	0.243	 Pressure = 	-2.87133	 Normal Contact Force = 	-3.49112
H = 	0.392754	 Volume = 	0.243	 Pressure = 	-2.87179	 Normal Contact Force = 	-3.49237
H = 	0.392734	 Volume = 	0.243	 Pressure = 	-2.87224	 Normal Contact Force = 	-3.49362
H = 	0.392715	 Volume = 	0.243	 Pressure = 	-2.8727	 Normal Contact Force = 	-3.49487
H = 	0.392695	 Volume = 	0.243	 Pressure = 	-2.87315	 Normal Contact Force = 	-3.49612
H = 	0.392676	 Volume = 	0.243	 Pressure = 	-2.87361	 Normal Contact Force = 	-3.49738
H = 	0.392656	 Volume = 	0.243	 Pressure = 	-2.87406	 Normal Contact Force = 	-3.49863
H = 	0.392637	 Volume = 	0.243	 Pressure = 	-2.87452	 Normal Contact Force = 	-3.49988
H = 	0.392617	 Volume = 	0.243	 Pressure = 	-2.87497	 Normal Contact Force = 	-3.50114
H = 	0.392598	 Volume = 	0.243	 Pressure = 	-2.87543	 Normal Contact Force = 	-3.50239
H = 	0.392578	 Volume = 	0.243	 Pressure = 	-2.87588	 Normal Contact Force = 	-3.50364
H = 	0.392559	 Volume = 	0.243	 Pressure = 	-2.87634	 Normal Contact Force = 	-3.5049
H = 	0.392539	 Volume = 	0.243	 Pressure = 	-2.87679	 Normal Contact Force = 	-3.50615
H = 	0.39252	 Volume = 	0.243	 Pressure = 	-2.87725	 Normal Contact Force = 	-3.50741
H = 	0.3925	 Volume = 	0.243	 Pressure = 	-2.8777	 Normal Contact Force = 	-3.50866
H = 	0.39248	 Volume = 	0.243	 Pressure = 	-2.87816	 Normal Contact Force = 	-3.50992
H = 	0.392461	 Volume = 	0.243	 Pressure = 	-2.87862	 Normal Contact Force = 	-3.51117
H = 	0.392441	 Volume = 	0.243	 Pressure = 	-2.87907	 Normal Contact Force = 	-3.51243
H = 	0.392422	 Volume = 	0.243	 Pressure = 	-2.87953	 Normal Contact Force = 	-3.51369
H = 	0.392402	 Volume = 	0.243	 Pressure = 	-2.87998	 Normal Contact Force = 	-3.51495
H = 	0.392383	 Volume = 	0.243	 Pressure = 	-2.88044	 Normal Contact Force = 	-3.5162
H = 	0.392363	 Volume = 	0.243	 Pressure = 	-2.88089	 Normal Contact Force = 	-3.51746
H = 	0.392344	 Volume = 	0.243	 Pressure = 	-2.88135	 Normal Contact Force = 	-3.51872
H = 	0.392324	 Volume = 	0.243	 Pressure = 	-2.88181	 Normal Contact Force = 	-3.51998
H = 	0.392305	 Volume = 	0.243	 Pressure = 	-2.88226	 Normal Contact Force = 	-3.52124
H = 	0.392285	 Volume = 	0.243	 Pressure = 	-2.88272	 Normal Contact Force = 	-3.5225
H = 	0.392266	 Volume = 	0.243	 Pressure = 	-2.88317	 Normal Contact Force = 	-3.52376
H = 	0.392246	 Volume = 	0.243	 Pressure = 	-2.88363	 Normal Contact Force = 	-3.52502
H = 	0.392227	 Volume = 	0.243	 Pressure = 	-2.88409	 Normal Contact Force = 	-3.52628
H = 	0.392207	 Volume = 	0.243	 Pressure = 	-2.88454	 Normal Contact Force = 	-3.52754
H = 	0.392188	 Volume = 	0.243	 Pressure = 	-2.885	 Normal Contact Force = 	-3.5288
H = 	0.392168	 Volume = 	0.243	 Pressure = 	-2.88546	 Normal Contact Force = 	-3.53006
H = 	0.392148	 Volume = 	0.243	 Pressure = 	-2.88591	 Normal Contact Force = 	-3.53133
H = 	0.392129	 Volume = 	0.243	 Pressure = 	-2.88637	 Normal Contact Force = 	-3.53259
H = 	0.392109	 Volume = 	0.243	 Pressure = 	-2.88682	 Normal Contact Force = 	-3.53385
H = 	0.39209	 Volume = 	0.243	 Pressure = 	-2.88728	 Normal Contact Force = 	-3.53511
H = 	0.39207	 Volume = 	0.243	 Pressure = 	-2.88774	 Normal Contact Force = 	-3.53638
H = 	0.392051	 Volume = 	0.243	 Pressure = 	-2.88819	 Normal Contact Force = 	-3.53764
H = 	0.392031	 Volume = 	0.243	 Pressure = 	-2.88865	 Normal Contact Force = 	-3.53891
H = 	0.392012	 Volume = 	0.243	 Pressure = 	-2.88911	 Normal Contact Force = 	-3.54017
H = 	0.391992	 Volume = 	0.243	 Pressure = 	-2.88956	 Normal Contact Force = 	-3.54144
