H = 	0.97701171875001114	 Volume = 	0.32343299999998965	 Pressure = 	-0.00016728939601305	 Radial Contact Force = 	-0.00001900835790285
H = 	0.97699218750001116	 Volume = 	0.32343299999999808	 Pressure = 	-0.00016757376377593	 Radial Contact Force = 	-0.00001903339166787
H = 	0.97697265625001117	 Volume = 	0.32343299999998987	 Pressure = 	-0.00016785807291415	 Radial Contact Force = 	-0.00001905828151188
H = 	0.97695312500001119	 Volume = 	0.32343299999999409	 Pressure = 	-0.00016814262676924	 Radial Contact Force = 	-0.00001908316049214
H = 	0.97693359375001121	 Volume = 	0.32343299999999087	 Pressure = 	-0.00016842732258366	 Radial Contact Force = 	-0.00001910798320100
H = 	0.97691406250001123	 Volume = 	0.32343299999999320	 Pressure = 	-0.00016871336911667	 Radial Contact Force = 	-0.00001913345366050
H = 	0.97689453125001124	 Volume = 	0.32343299999999159	 Pressure = 	-0.00016899972095901	 Radial Contact Force = 	-0.00001915895252087
H = 	0.97687500000001126	 Volume = 	0.32343299999999620	 Pressure = 	-0.00016928621620078	 Radial Contact Force = 	-0.00001918441576499
H = 	0.97685546875001128	 Volume = 	0.32343299999999142	 Pressure = 	-0.00016957283193162	 Radial Contact Force = 	-0.00001920978921206
H = 	0.97683593750001130	 Volume = 	0.32343299999999497	 Pressure = 	-0.00016985963418117	 Radial Contact Force = 	-0.00001923515251117
H = 	0.97681640625001132	 Volume = 	0.32343299999999181	 Pressure = 	-0.00017014654239987	 Radial Contact Force = 	-0.00001926041720269
H = 	0.97679687500001133	 Volume = 	0.32343299999999092	 Pressure = 	-0.00017043353880193	 Radial Contact Force = 	-0.00001928562944091
H = 	0.97677734375001135	 Volume = 	0.32343299999999187	 Pressure = 	-0.00017072082719819	 Radial Contact Force = 	-0.00001931082091059
H = 	0.97675781250001137	 Volume = 	0.32343299999999425	 Pressure = 	-0.00017100816880121	 Radial Contact Force = 	-0.00001933592883395
H = 	0.97673828125001139	 Volume = 	0.32343299999999497	 Pressure = 	-0.00017129567584568	 Radial Contact Force = 	-0.00001936099345358
H = 	0.97671875000001140	 Volume = 	0.32343299999999364	 Pressure = 	-0.00017158331309500	 Radial Contact Force = 	-0.00001938599372375
H = 	0.97669921875001142	 Volume = 	0.32343299999999608	 Pressure = 	-0.00017187110380287	 Radial Contact Force = 	-0.00001941094340357
H = 	0.97667968750001144	 Volume = 	0.32343299999999719	 Pressure = 	-0.00017215903725879	 Radial Contact Force = 	-0.00001943583604854
H = 	0.97666015625001146	 Volume = 	0.32343299999999714	 Pressure = 	-0.00017244951386104	 Radial Contact Force = 	-0.00001946209947299
H = 	0.97664062500001148	 Volume = 	0.32343299999999492	 Pressure = 	-0.00017274049398179	 Radial Contact Force = 	-0.00001948852002864
H = 	0.97662109375001149	 Volume = 	0.32343299999999658	 Pressure = 	-0.00017303161660851	 Radial Contact Force = 	-0.00001951488287013
H = 	0.97660156250001151	 Volume = 	0.32343299999999675	 Pressure = 	-0.00017332288199673	 Radial Contact Force = 	-0.00001954118806671
H = 	0.97658203125001153	 Volume = 	0.32343299999999381	 Pressure = 	-0.00017361428184150	 Radial Contact Force = 	-0.00001956742425291
H = 	0.97656250000001155	 Volume = 	0.32343299999999758	 Pressure = 	-0.00017390584224347	 Radial Contact Force = 	-0.00001959362589174
H = 	0.97654296875001156	 Volume = 	0.32343299999999481	 Pressure = 	-0.00017419753072237	 Radial Contact Force = 	-0.00001961974821971
